system:index,meanNDVI,year,.geo
0.0,0.0971985524755671,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1.0,0.1288089322528376,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
2.0,0.151228924858655,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
3.0,0.0943843324581891,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
4.0,0.1462740566466016,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
5.0,0.0918662743797463,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
6.0,0.0778295679425634,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
7.0,0.1298380242382791,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
8.0,0.1281576104921212,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
9.0,0.1566734946976673,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
10.0,0.0971074876864947,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
11.0,0.1851699698112762,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
12.0,0.1214637527832137,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
13.0,0.0959886201003898,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
14.0,0.1936992161491941,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
15.0,0.0894684565680797,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
16.0,0.1170199274204834,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
17.0,0.1536090574422686,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
18.0,0.0809972850030106,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
19.0,0.1810375640411461,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20.0,0.127934293003548,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
21.0,0.2042930331967832,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
22.0,0.1384000181568148,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
23.0,0.0783565597575693,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
24.0,0.1278179055105527,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
25.0,0.1780339498113395,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
26.0,0.1495847517795633,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
27.0,0.1679947682780893,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
28.0,0.0870247453611207,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
29.0,0.0813568548107969,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
30.0,0.114548386016123,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
31.0,0.1507107326563704,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
32.0,0.1347154649999733,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
33.0,0.1459189790367236,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
34.0,0.1010468642009321,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35.0,0.1644938542305731,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
36.0,0.1678652654672903,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
37.0,0.0945587217090929,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38.0,0.1203564885185319,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
39.0,0.1859325701999294,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
,0.14014440774917603,2024,
,0.13382454216480255,2025,
,0.12586578726768494,2026,
